State,Net Migration,Net Migration Change,Net Population Change,Population,Region,Year
New Mexico,-4728,-2.261702625,2339,2091630,4,2016
New York,-105667,-5.379085073,-21238,19633428,1,2016
North Carolina,91339,9.049542876,123142,10154788,3,2016
North Dakota,-4866,-6.45144183,368,754434,2,2016
Ohio,-3903,-0.335714544,16843,11634370,2,2016
Oklahoma,3339,0.852238901,16831,3926331,3,2016
Oregon,63721,15.72238436,74184,4089976,4,2016
Pennsylvania,-12447,-0.9736731590000001,-2551,12782275,1,2016
Rhode Island,-338,-0.319949262,705,1056770,1,2016
South Carolina,55364,11.241528599999999,66030,4957968,3,2016
South Dakota,4474,5.211463823,9008,862996,2,2016
Tennessee,40190,6.072290322000001,54840,6646010,3,2016
Texas,231776,8.369711464,444354,27914410,3,2016
Utah,27156,9.016380788,60033,3041868,4,2016
Vermont,-1566,-2.5078610880000003,-1559,623657,1,2016
Virginia,10683,1.273915428,48298,8410106,3,2016
Washington,95817,13.254138000000001,131114,7294771,4,2016
West Virginia,-7954,-4.330978448,-11027,1831023,3,2016
Wisconsin,-3625,-0.628599927,11688,5772628,2,2016
Wyoming,-4201,-7.182252434,-1398,584215,4,2016
Puerto Rico,-68278,-19.84853277,-66560,3406672,X,2016
United States,930409,2.8719569189999996,2044228,324985539,0,2017
Northeast Region,-102968,-1.8370483130000002,16910,56059240,1,2017
Midwest Region,-37933,-0.5573697129999999,139241,68126781,2,2017
South Region,762046,6.198167975,1190429,123542189,3,2017
West Region,309264,4.021193755,697648,77257329,4,2017
Alabama,5309,1.0903664,10961,4874486,3,2017
Alaska,-8141,-10.99276511,-1756,739700,4,2017
Arizona,76071,10.87887949,102936,7044008,4,2017
Arkansas,6020,2.009592969,11427,3001345,3,2017
California,-24732,-0.629909115,191380,39358497,4,2017
Colorado,44783,8.032032714,72670,5611885,4,2017
Connecticut,-9356,-2.616536702,-4844,3573297,1,2017
Delaware,5958,6.25267612,7902,956823,3,2017
District of Columbia,4514,6.538612797000001,9091,694906,3,2017
Florida,324642,15.61638874,350136,20963613,3,2017
Georgia,60780,5.8689990739999995,108440,10410330,3,2017
Hawaii,-9805,-6.875992302999999,-3166,1424393,4,2017
Idaho,26525,15.60250522,35335,1717715,4,2017
Illinois,-85114,-6.6496987910000005,-41699,12778828,2,2017
Indiana,6984,1.050827459,23774,6658078,2,2017
Iowa,1941,0.618850453,10179,3141550,2,2017
Kansas,-12486,-4.291044584,-2126,2908718,2,2017
Kentucky,7852,1.7663897780000002,14086,4452268,3,2017
Louisiana,-24974,-5.3427777889999994,-7575,4670560,3,2017
Maine,5443,4.083379565,3295,1334612,1,2017
Maryland,-1437,-0.23895854,20545,6023868,3,2017
Massachusetts,23785,3.4764759069999998,36181,6859789,1,2017
Michigan,7780,0.780980025,22543,9973114,2,2017
Minnesota,18135,3.270816579,43486,5566230,2,2017
Mississippi,-4998,-1.672565377,572,2988510,3,2017
Missouri,7211,1.182731723,19535,6106670,2,2017
Montana,9648,9.217800635,11623,1052482,4,2017
Nebraska,1043,0.545849957,10331,1915947,2,2017
Nevada,40501,13.75837627,52342,2969905,4,2017
New Hampshire,6616,4.916959423,6480,1348787,1,2017
New Jersey,-12205,-1.3747193119999999,14698,8885525,1,2017
New Mexico,-5423,-2.59261933,154,2091784,4,2017
New York,-120168,-6.127425235,-43856,19589572,1,2017
North Carolina,84870,8.311209199,113445,10268233,3,2017
North Dakota,-4289,-5.683143232999999,508,754942,2,2017
Ohio,10883,0.9344029070000001,25280,11659650,2,2017
Oklahoma,-6105,-1.553900296,4985,3931316,3,2017
Oregon,45679,11.09575264,53649,4143625,4,2017
Pennsylvania,3640,0.284709578,5366,12787641,1,2017
Rhode Island,-1686,-1.596256088,-1097,1055673,1,2017
South Carolina,55019,11.02669583,63300,5021268,3,2017
South Dakota,5759,6.635312444,9872,872868,2,2017
Tennessee,51251,7.675287606,62789,6708799,3,2017
Texas,182978,6.51055086,380863,28295273,3,2017
Utah,27227,8.864528375,59174,3101042,4,2017
Vermont,963,1.543267994,687,624344,1,2017
Virginia,20101,2.382525272,53481,8463587,3,2017
Washington,94679,12.86562637,128591,7423362,4,2017
West Virginia,-9734,-5.336583309,-14019,1817004,3,2017
Wisconsin,4220,0.729926124,17558,5790186,2,2017
Wyoming,-7748,-13.32248918,-5284,578931,4,2017
Puerto Rico,-78188,-23.22890309,-81386,3325286,X,2017
United States,701823,2.153911416,1701962,326687501,0,2018
Northeast Region,-119642,-2.134446852,-12620,56046620,1,2018
Midwest Region,-62915,-0.9227548720000001,109847,68236628,2,2018
South Region,648256,5.225519021,1027244,124569433,3,2018
West Region,236124,3.044951038,577491,77834820,4,2018
Alabama,8658,1.773786496,13195,4887681,3,2018
Alaska,-10220,-13.85913988,-4561,735139,4,2018
Arizona,92050,12.96293376,114016,7158024,4,2018
Arkansas,2882,0.958896225,8388,3009733,3,2018
California,-83981,-2.130954312,103091,39461588,4,2018
Colorado,53185,9.410632697,79402,5691287,4,2018
Connecticut,-5478,-1.53341926,-1777,3571520,1,2018
Delaware,7335,7.631475179,8656,965479,3,2018
District of Columbia,2431,3.4816782230000003,6641,701547,3,2018
Florida,267130,12.65781099,280704,21244317,3,2018
Georgia,56844,5.434037327,100801,10511131,3,2018
Hawaii,-8498,-5.974018853,-3800,1420593,4,2018
Idaho,24142,13.92171443,32821,1750536,4,2018
Illinois,-93439,-7.328003299,-55757,12723071,2,2018
Indiana,19003,2.84612922,37419,6695497,2,2018
Iowa,-2064,-0.6562622810000001,7068,3148618,2,2018
Kansas,-7511,-2.581065508,2641,2911359,2,2018
Kentucky,1121,0.25153081,8885,4461153,3,2018
Louisiana,-24483,-5.248090887,-10870,4659690,3,2018
Maine,6642,4.968453462,4445,1339057,1,2018
Maryland,-8544,-1.416954195,11934,6035802,3,2018
Massachusetts,11129,1.619656037,22846,6882635,1,2018
Michigan,-2994,-0.300042301,10958,9984072,2,2018
Minnesota,15822,2.8323168030000003,40019,5606249,2,2018
Mississippi,-12762,-4.275713498,-7490,2981020,3,2018
Missouri,3058,0.500151575,14953,6121623,2,2018
Montana,6284,5.94752755,8183,1060665,4,2018
Nebraska,-54,-0.028113572000000003,9667,1925614,2,2018
Nevada,46658,15.55980862,57436,3027341,4,2018
New Hampshire,5076,3.756866495,4678,1353465,1,2018
New Jersey,-24811,-2.792215648,500,8886025,1,2018
New Mexico,-3807,-1.81956136,957,2092741,4,2018
New York,-125303,-6.406096454,-59221,19530351,1,2018
North Carolina,86828,8.409553426,113382,10381615,3,2018
North Dakota,-1295,-1.711805909,3138,758080,2,2018
Ohio,956,0.081933525,16691,11676341,2,2018
Oklahoma,-55,-0.013974374,8919,3940235,3,2018
Oregon,31019,7.451554625,38261,4181886,4,2018
Pennsylvania,10944,0.8553821490000001,13281,12800922,1,2018
Rhode Island,1884,1.7824367540000001,2614,1058287,1,2018
South Carolina,56397,11.16172859,62888,5084156,3,2018
South Dakota,1178,1.345082058,5830,878698,2,2018
Tennessee,50847,7.5438246410000005,62832,6771631,3,2018
Texas,155073,5.448428297,333393,28628666,3,2018
Utah,21841,6.983988724,52508,3153550,4,2018
Vermont,275,0.44045737100000004,14,624358,1,2018
Virginia,6673,0.786684345,37699,8501286,3,2018
Washington,70762,9.468241977,100507,7523869,4,2018
West Virginia,-8119,-4.484031265,-12713,1804291,3,2018
Wisconsin,4425,0.763089441,17220,5807406,2,2018
Wyoming,-3311,-5.725738674,-1330,577601,4,2018
Puerto Rico,-123399,-37.86035124,-131932,3193354,X,2018
