Year,Current residence,Region,Moved to,Num_moved
2017,Maryland,South_states,Alabama,1641.0
2017,Massachusetts,Northeast_states,Alabama,583.0
2017,Michigan,Midwest_states,Alabama,2403.0
2017,Minnesota,Midwest_states,Alabama,266.0
2017,Mississippi,South_states,Alabama,8306.0
2017,Missouri,Midwest_states,Alabama,819.0
2017,Montana,West_states,Alabama,212.0
2017,Nebraska,Midwest_states,Alabama,232.0
2017,Nevada,West_states,Alabama,150.0
2017,New Hampshire,Northeast_states,Alabama,152.0
2017,New Jersey,Northeast_states,Alabama,616.0
2017,New Mexico,West_states,Alabama,751.0
2017,New York,Northeast_states,Alabama,1310.0
2017,North Carolina,South_states,Alabama,3044.0
2017,North Dakota,Midwest_states,Alabama,109.0
2017,Ohio,Midwest_states,Alabama,1289.0
2017,Oklahoma,South_states,Alabama,1612.0
2017,Oregon,West_states,Alabama,400.0
2017,Pennsylvania,Northeast_states,Alabama,369.0
2017,Rhode Island,Northeast_states,Alabama,136.0
2017,South Carolina,South_states,Alabama,1741.0
2017,South Dakota,Midwest_states,Alabama,325.0
2017,Tennessee,South_states,Alabama,8897.0
2017,Texas,South_states,Alabama,8636.0
2017,Utah,West_states,Alabama,93.0
2017,Vermont,Northeast_states,Alabama,0.0
2017,Virginia,South_states,Alabama,2671.0
2017,Washington,West_states,Alabama,1322.0
2017,West Virginia,South_states,Alabama,41.0
2017,Wisconsin,Midwest_states,Alabama,552.0
2017,Wyoming,West_states,Alabama,172.0
2017,Puerto Rico,,Alabama,629.0
2018,Alabama,South_states,Alabama,
2018,Alaska,West_states,Alabama,477.0
2018,Arizona,West_states,Alabama,416.0
2018,Arkansas,South_states,Alabama,1405.0
2018,California,West_states,Alabama,3364.0
2018,Colorado,West_states,Alabama,954.0
2018,Connecticut,Northeast_states,Alabama,896.0
2018,Delaware,South_states,Alabama,128.0
2018,District of Columbia ,South_states,Alabama,360.0
2018,Florida,South_states,Alabama,15830.0
2018,Georgia,South_states,Alabama,13840.0
2018,Hawaii,West_states,Alabama,749.0
2018,Idaho,West_states,Alabama,376.0
2018,Illinois,Midwest_states,Alabama,1397.0
2018,Indiana,Midwest_states,Alabama,1502.0
2018,Iowa,Midwest_states,Alabama,330.0
2018,Kansas,Midwest_states,Alabama,44.0
2018,Kentucky,South_states,Alabama,2161.0
2018,Louisiana,South_states,Alabama,5740.0
2018,Maine,Northeast_states,Alabama,402.0
2018,Maryland,South_states,Alabama,1641.0
2018,Massachusetts,Northeast_states,Alabama,583.0
2018,Michigan,Midwest_states,Alabama,2403.0
2018,Minnesota,Midwest_states,Alabama,266.0
2018,Mississippi,South_states,Alabama,8306.0
2018,Missouri,Midwest_states,Alabama,819.0
2018,Montana,West_states,Alabama,212.0
2018,Nebraska,Midwest_states,Alabama,232.0
2018,Nevada,West_states,Alabama,150.0
2018,New Hampshire,Northeast_states,Alabama,152.0
2018,New Jersey,Northeast_states,Alabama,616.0
2018,New Mexico,West_states,Alabama,751.0
2018,New York,Northeast_states,Alabama,1310.0
2018,North Carolina,South_states,Alabama,3044.0
2018,North Dakota,Midwest_states,Alabama,109.0
2018,Ohio,Midwest_states,Alabama,1289.0
2018,Oklahoma,South_states,Alabama,1612.0
2018,Oregon,West_states,Alabama,400.0
2018,Pennsylvania,Northeast_states,Alabama,369.0
2018,Rhode Island,Northeast_states,Alabama,136.0
2018,South Carolina,South_states,Alabama,1741.0
2018,South Dakota,Midwest_states,Alabama,325.0
2018,Tennessee,South_states,Alabama,8897.0
2018,Texas,South_states,Alabama,8636.0
2018,Utah,West_states,Alabama,93.0
2018,Vermont,Northeast_states,Alabama,0.0
2018,Virginia,South_states,Alabama,2671.0
2018,Washington,West_states,Alabama,1322.0
2018,West Virginia,South_states,Alabama,41.0
2018,Wisconsin,Midwest_states,Alabama,552.0
